Date;Time of day;Volume of activated balancing services (+)[MWh];Volume of activated balancing services (-)[MWh];Price of activated balancing services (+)[Euro/MWh];Price of activated balancing services (-)[Euro/MWh];Volume of procured balancing services (+)[MW];Volume of procured balancing services (-)[MW];Price of procured balancing services (+)[Euro/MW];Price of procured balancing services (-)[Euro/MW]
Jan 1, 2017;12:00 AM;63.5;3;148.47;-0.72;1,976;2,250;319.92;763.47
Jan 1, 2017;12:15 AM;110;0.5;198.65;-0.34;1,976;2,250;319.92;763.47
Jan 1, 2017;12:30 AM;137.75;0.5;225.45;-0.34;1,976;2,250;319.92;763.47
Jan 1, 2017;12:45 AM;162.25;2.75;244.63;-0.85;1,976;2,250;319.92;763.47
Jan 1, 2017;1:00 AM;91.75;2.75;180.62;-0.77;1,976;2,250;319.92;763.47
Jan 1, 2017;1:15 AM;92;0.5;181.08;-0.34;1,976;2,250;319.92;763.47
Jan 1, 2017;1:30 AM;131.25;0.5;219.47;-0.34;1,976;2,250;319.92;763.47
Jan 1, 2017;1:45 AM;64.75;0.5;149.36;-0.34;1,976;2,250;319.92;763.47
Jan 1, 2017;2:00 AM;135.25;0.5;223.24;-0.34;1,976;2,250;319.92;763.47
Jan 1, 2017;2:15 AM;116.75;0.5;205.49;-0.34;1,976;2,250;319.92;763.47
Jan 1, 2017;2:30 AM;97;0.5;186.16;-0.34;1,976;2,250;319.92;763.47
Jan 1, 2017;2:45 AM;16;3.5;68.17;-0.84;1,976;2,250;319.92;763.47
Jan 1, 2017;3:00 AM;23.5;2;75.11;-0.37;1,976;2,250;319.92;763.47
Jan 1, 2017;3:15 AM;15.25;1;67.35;-0.34;1,976;2,250;319.92;763.47
Jan 1, 2017;3:30 AM;28.5;1;78.11;-0.34;1,976;2,250;319.92;763.47
Jan 1, 2017;3:45 AM;3.25;5.25;56.63;-1.18;1,976;2,250;319.92;763.47
Jan 1, 2017;4:00 AM;86.25;1;173.83;-0.34;1,976;2,250;319.92;763.47
Jan 1, 2017;4:15 AM;73.75;1;156.4;-0.34;1,976;2,250;319.92;763.47
Jan 1, 2017;4:30 AM;14.75;4;66.85;-0.96;1,976;2,250;319.92;763.47
Jan 1, 2017;4:45 AM;1.5;21;52.88;-4.39;1,976;2,250;319.92;763.47
Jan 1, 2017;5:00 AM;2;26.5;54.98;-7.27;1,976;2,250;319.92;763.47
Jan 1, 2017;5:15 AM;3;36.5;56.16;-10.5;1,976;2,250;319.92;763.47
Jan 1, 2017;5:30 AM;2.75;24;55.84;-6.28;1,976;2,250;319.92;763.47
Jan 1, 2017;5:45 AM;1;55.25;52.54;-13.4;1,976;2,250;319.92;763.47
Jan 1, 2017;6:00 AM;13.5;2.75;65.2;-0.62;1,976;2,250;319.92;763.47
Jan 1, 2017;6:15 AM;44.25;0.5;121.73;-0.34;1,976;2,250;319.92;763.47
Jan 1, 2017;6:30 AM;33.75;0.5;96.2;-0.34;1,976;2,250;319.92;763.47
Jan 1, 2017;6:45 AM;15.75;2;67.89;-0.47;1,976;2,250;319.92;763.47
Jan 1, 2017;7:00 AM;22.75;1;74.58;-0.34;1,976;2,250;319.92;763.47
Jan 1, 2017;7:15 AM;20.75;0.75;72.7;-0.34;1,976;2,250;319.92;763.47
Jan 1, 2017;7:30 AM;35;0.5;99.97;-0.34;1,976;2,250;319.92;763.47
Jan 1, 2017;7:45 AM;0.75;39.75;51.95;-11.22;1,976;2,250;319.92;763.47
Jan 1, 2017;8:00 AM;0;163.75;51.95;-47.83;1,976;2,250;419.89;241.92
Jan 1, 2017;8:15 AM;0.25;130.25;51.95;-37.07;1,976;2,250;419.89;241.92
Jan 1, 2017;8:30 AM;0.5;109.75;51.95;-29.49;1,976;2,250;419.89;241.92
Jan 1, 2017;8:45 AM;0.25;73.75;51.95;-16.61;1,976;2,250;419.89;241.92
Jan 1, 2017;9:00 AM;3.5;27.25;56.7;-7.92;1,976;2,250;419.89;241.92
Jan 1, 2017;9:15 AM;2;46.25;54.8;-12.3;1,976;2,250;419.89;241.92
Jan 1, 2017;9:30 AM;1.25;20.75;52.75;-4.3;1,976;2,250;419.89;241.92
Jan 1, 2017;9:45 AM;0.25;19;51.95;-3.57;1,976;2,250;419.89;241.92
Jan 1, 2017;10:00 AM;1;48;51.95;-12.55;1,976;2,250;419.89;241.92
Jan 1, 2017;10:15 AM;2.75;35.25;55.82;-10.21;1,976;2,250;419.89;241.92
Jan 1, 2017;10:30 AM;1.5;32.5;53.38;-9.5;1,976;2,250;419.89;241.92
Jan 1, 2017;10:45 AM;0.25;81.5;51.95;-19.42;1,976;2,250;419.89;241.92
Jan 1, 2017;11:00 AM;1;128.25;52.06;-36.39;1,976;2,250;419.89;241.92
Jan 1, 2017;11:15 AM;1;85.5;51.95;-20.92;1,976;2,250;419.89;241.92
Jan 1, 2017;11:30 AM;0.25;107.25;51.95;-28.4;1,976;2,250;419.89;241.92
Jan 1, 2017;11:45 AM;0.25;103.75;51.95;-27.05;1,976;2,250;419.89;241.92
Jan 1, 2017;12:00 PM;0.25;64.5;51.95;-14.4;1,976;2,250;419.89;241.92
Jan 1, 2017;12:15 PM;0.5;53.75;51.95;-13.22;1,976;2,250;419.89;241.92
Jan 1, 2017;12:30 PM;3.75;41.75;56.87;-11.65;1,976;2,250;419.89;241.92
Jan 1, 2017;12:45 PM;1.25;35.25;53.42;-10.3;1,976;2,250;419.89;241.92
Jan 1, 2017;1:00 PM;5.5;35;58.33;-10.24;1,976;2,250;419.89;241.92
Jan 1, 2017;1:15 PM;5.25;24.25;57.24;-6.11;1,976;2,250;419.89;241.92
Jan 1, 2017;1:30 PM;34.5;1.25;98.32;-0.34;1,976;2,250;419.89;241.92
Jan 1, 2017;1:45 PM;72.75;0.5;156.01;-0.34;1,976;2,250;419.89;241.92
Jan 1, 2017;2:00 PM;103.25;0.5;192.84;-0.34;1,976;2,250;419.89;241.92
Jan 1, 2017;2:15 PM;208;0.5;275.45;-0.34;1,976;2,250;419.89;241.92
Jan 1, 2017;2:30 PM;279;0.5;327.51;-0.34;1,976;2,250;419.89;241.92
Jan 1, 2017;2:45 PM;91.75;1.75;180.07;-0.42;1,976;2,250;419.89;241.92
Jan 1, 2017;3:00 PM;12.75;5.25;64.12;-1.13;1,976;2,250;419.89;241.92
Jan 1, 2017;3:15 PM;40.5;0.75;114.57;-0.34;1,976;2,250;419.89;241.92
Jan 1, 2017;3:30 PM;7.25;11.25;59.56;-2.29;1,976;2,250;419.89;241.92
Jan 1, 2017;3:45 PM;18.5;7.25;70.58;-1.64;1,976;2,250;419.89;241.92
Jan 1, 2017;4:00 PM;18.75;3.5;70.96;-0.89;1,976;2,250;419.89;241.92
Jan 1, 2017;4:15 PM;47.25;0.5;127.6;-0.34;1,976;2,250;419.89;241.92
Jan 1, 2017;4:30 PM;74.25;0.75;157.45;-0.34;1,976;2,250;419.89;241.92
Jan 1, 2017;4:45 PM;97.5;0.5;186.8;-0.34;1,976;2,250;419.89;241.92
Jan 1, 2017;5:00 PM;121;2;209.11;-0.51;1,976;2,250;419.89;241.92
Jan 1, 2017;5:15 PM;212;0.5;277.5;-0.34;1,976;2,250;419.89;241.92
Jan 1, 2017;5:30 PM;82.25;1.5;167.96;-0.34;1,976;2,250;419.89;241.92
Jan 1, 2017;5:45 PM;15.25;0.75;67.03;-0.34;1,976;2,250;419.89;241.92
Jan 1, 2017;6:00 PM;19.5;0.75;71.48;-0.34;1,976;2,250;419.89;241.92
Jan 1, 2017;6:15 PM;63;0.5;147.91;-0.34;1,976;2,250;419.89;241.92
Jan 1, 2017;6:30 PM;150.25;0.5;236.09;-0.34;1,976;2,250;419.89;241.92
Jan 1, 2017;6:45 PM;166.25;0.5;247.39;-0.34;1,976;2,250;419.89;241.92
Jan 1, 2017;7:00 PM;198.75;1;270.07;-0.34;1,976;2,250;419.89;241.92
Jan 1, 2017;7:15 PM;150.25;0.5;235.48;-0.34;1,976;2,250;419.89;241.92
Jan 1, 2017;7:30 PM;40.25;2.25;113.59;-0.45;1,976;2,250;419.89;241.92
Jan 1, 2017;7:45 PM;2.5;22;55.89;-5.18;1,976;2,250;419.89;241.92
Jan 1, 2017;8:00 PM;29.25;5.5;79.2;-1.17;1,976;2,250;319.92;763.47
Jan 1, 2017;8:15 PM;30.5;4;86.15;-0.91;1,976;2,250;319.92;763.47
Jan 1, 2017;8:30 PM;16.5;8;68.95;-1.79;1,976;2,250;319.92;763.47
Jan 1, 2017;8:45 PM;9.5;19.75;60.97;-3.62;1,976;2,250;319.92;763.47
Jan 1, 2017;9:00 PM;37;6.25;105.89;-1.36;1,976;2,250;319.92;763.47
Jan 1, 2017;9:15 PM;23.75;8.75;75.15;-1.91;1,976;2,250;319.92;763.47
Jan 1, 2017;9:30 PM;0.5;36;51.95;-10.45;1,976;2,250;319.92;763.47
Jan 1, 2017;9:45 PM;0.75;25.5;51.95;-6.89;1,976;2,250;319.92;763.47
Jan 1, 2017;10:00 PM;70.25;3.75;154.12;-0.89;1,976;2,250;319.92;763.47
Jan 1, 2017;10:15 PM;43.75;3.75;120.38;-0.86;1,976;2,250;319.92;763.47
Jan 1, 2017;10:30 PM;23;2.75;74.86;-0.59;1,976;2,250;319.92;763.47
Jan 1, 2017;10:45 PM;49.5;3.25;130.68;-0.69;1,976;2,250;319.92;763.47
Jan 1, 2017;11:00 PM;90.5;2;179.62;-0.49;1,976;2,250;319.92;763.47
Jan 1, 2017;11:15 PM;163;0.75;244.96;-0.34;1,976;2,250;319.92;763.47
Jan 1, 2017;11:30 PM;151.75;0.5;237.17;-0.34;1,976;2,250;319.92;763.47
Jan 1, 2017;11:45 PM;75.75;2.5;158.32;-0.46;1,976;2,250;319.92;763.47
Jan 2, 2017;12:00 AM;8.75;11.25;58.78;1.3;1,902;1,832;270.54;196.16
Jan 2, 2017;12:15 AM;3;30.5;52.69;-0.12;1,902;1,832;270.54;196.16
Jan 2, 2017;12:30 AM;0.5;18.5;48;0.46;1,902;1,832;270.54;196.16
Jan 2, 2017;12:45 AM;0.75;34;48;-0.2;1,902;1,832;270.54;196.16
Jan 2, 2017;1:00 AM;51.5;6.75;77.9;2.91;1,902;1,832;270.54;196.16
Jan 2, 2017;1:15 AM;28.75;3.5;73.23;5.44;1,902;1,832;270.54;196.16
Jan 2, 2017;1:30 AM;4.5;18.5;54.29;0.43;1,902;1,832;270.54;196.16
Jan 2, 2017;1:45 AM;2;18.5;50.41;0.46;1,902;1,832;270.54;196.16
Jan 2, 2017;2:00 AM;92.25;0.75;83.38;15.1;1,902;1,832;270.54;196.16
Jan 2, 2017;2:15 AM;103;0;89.62;15.1;1,902;1,832;270.54;196.16
Jan 2, 2017;2:30 AM;24;0.25;70.91;15.1;1,902;1,832;270.54;196.16
Jan 2, 2017;2:45 AM;3.5;8.25;53.33;2.12;1,902;1,832;270.54;196.16
Jan 2, 2017;3:00 AM;5;22.25;54.64;0.2;1,902;1,832;270.54;196.16
Jan 2, 2017;3:15 AM;2.5;14;51.81;0.92;1,902;1,832;270.54;196.16
Jan 2, 2017;3:30 AM;20.5;0.5;68.8;15.1;1,902;1,832;270.54;196.16
Jan 2, 2017;3:45 AM;11.75;1.5;60.78;10.89;1,902;1,832;270.54;196.16
Jan 2, 2017;4:00 AM;15.25;1.75;64.21;11.06;1,902;1,832;270.54;196.16
Jan 2, 2017;4:15 AM;14.25;0.5;63.59;15.1;1,902;1,832;270.54;196.16
Jan 2, 2017;4:30 AM;18.5;6;67.57;3;1,902;1,832;270.54;196.16
Jan 2, 2017;4:45 AM;19;16.5;67.75;0.59;1,902;1,832;270.54;196.16
Jan 2, 2017;5:00 AM;0.5;79.5;48;-4.3;1,902;1,832;270.54;196.16
Jan 2, 2017;5:15 AM;5.5;30.5;55.38;-0.12;1,902;1,832;270.54;196.16
Jan 2, 2017;5:30 AM;18.75;2.75;67.47;6.92;1,902;1,832;270.54;196.16
Jan 2, 2017;5:45 AM;16.75;10.75;65.56;1.44;1,902;1,832;270.54;196.16
Jan 2, 2017;6:00 AM;0.75;171;48;-34.28;1,902;1,832;270.54;196.16
Jan 2, 2017;6:15 AM;0.25;99.75;48;-11.21;1,902;1,832;270.54;196.16
Jan 2, 2017;6:30 AM;2;55.25;51.7;-1.44;1,902;1,832;270.54;196.16
Jan 2, 2017;6:45 AM;0.25;122.75;48;-19.04;1,902;1,832;270.54;196.16
Jan 2, 2017;7:00 AM;0.25;182;48;-37.76;1,902;1,832;270.54;196.16
Jan 2, 2017;7:15 AM;58.25;25.75;78.66;0.04;1,902;1,832;270.54;196.16
Jan 2, 2017;7:30 AM;18.75;11.5;67.37;1.29;1,902;1,832;270.54;196.16
Jan 2, 2017;7:45 AM;123;0.25;104.33;15.1;1,902;1,832;270.54;196.16
Jan 2, 2017;8:00 AM;41.75;2.5;68.03;13.71;1,902;1,832;325.82;85.83
Jan 2, 2017;8:15 AM;11;14;59.19;8.55;1,902;1,832;325.82;85.83
Jan 2, 2017;8:30 AM;44.75;5;68.65;12.33;1,902;1,832;325.82;85.83
Jan 2, 2017;8:45 AM;58.5;0.5;70.93;18.5;1,902;1,832;325.82;85.83
Jan 2, 2017;9:00 AM;21.25;2.75;62.78;13.76;1,902;1,832;325.82;85.83
Jan 2, 2017;9:15 AM;86.75;0.25;74.94;18.5;1,902;1,832;325.82;85.83
Jan 2, 2017;9:30 AM;207.75;0;128.99;18.5;1,902;1,832;325.82;85.83
Jan 2, 2017;9:45 AM;212.5;0.25;132;18.5;1,902;1,832;325.82;85.83
Jan 2, 2017;10:00 AM;64;0.75;71.89;18.5;1,902;1,832;325.82;85.83
Jan 2, 2017;10:15 AM;50.75;0.25;69.64;18.5;1,902;1,832;325.82;85.83
Jan 2, 2017;10:30 AM;143;0.25;97.26;18.5;1,902;1,832;325.82;85.83
Jan 2, 2017;10:45 AM;137.5;0.25;94.3;18.5;1,902;1,832;325.82;85.83
Jan 2, 2017;11:00 AM;169.75;0;111.04;18.5;1,902;1,832;325.82;85.83
Jan 2, 2017;11:15 AM;198.75;0.25;124.62;18.5;1,902;1,832;325.82;85.83
Jan 2, 2017;11:30 AM;86.75;0.75;74.89;18.5;1,902;1,832;325.82;85.83
Jan 2, 2017;11:45 AM;42;0.5;67.98;18.5;1,902;1,832;325.82;85.83
Jan 2, 2017;12:00 PM;123.5;0.25;84.24;18.5;1,902;1,832;325.82;85.83
Jan 2, 2017;12:15 PM;110.5;0;77.91;18.5;1,902;1,832;325.82;85.83
Jan 2, 2017;12:30 PM;43;0.25;68.21;18.5;1,902;1,832;325.82;85.83
Jan 2, 2017;12:45 PM;6;49.5;55.73;6.42;1,902;1,832;325.82;85.83
Jan 2, 2017;1:00 PM;18.75;27.25;62.1;7.36;1,902;1,832;325.82;85.83
Jan 2, 2017;1:15 PM;26;45.25;64.17;6.56;1,902;1,832;325.82;85.83
Jan 2, 2017;1:30 PM;11.75;50;59.64;6.41;1,902;1,832;325.82;85.83
Jan 2, 2017;1:45 PM;1.75;67.5;51.11;5.97;1,902;1,832;325.82;85.83
Jan 2, 2017;2:00 PM;8.75;18.25;58.05;8.03;1,902;1,832;325.82;85.83
Jan 2, 2017;2:15 PM;10.25;17.25;58.67;8.14;1,902;1,832;325.82;85.83
Jan 2, 2017;2:30 PM;2.75;15.75;52.48;8.34;1,902;1,832;325.82;85.83
Jan 2, 2017;2:45 PM;1.5;29.75;49.27;7.2;1,902;1,832;325.82;85.83
Jan 2, 2017;3:00 PM;66;0.75;72.21;18.23;1,902;1,832;325.82;85.83
Jan 2, 2017;3:15 PM;111.75;0.25;78.08;18.5;1,902;1,832;325.82;85.83
Jan 2, 2017;3:30 PM;37.25;1.25;67.04;16.1;1,902;1,832;325.82;85.83
Jan 2, 2017;3:45 PM;7.5;13;57.03;8.73;1,902;1,832;325.82;85.83
Jan 2, 2017;4:00 PM;2.25;56;51.2;6.25;1,902;1,832;325.82;85.83
Jan 2, 2017;4:15 PM;3.5;33.75;53.23;7.03;1,902;1,832;325.82;85.83
Jan 2, 2017;4:30 PM;86.75;7.5;74.98;10.59;1,902;1,832;325.82;85.83
Jan 2, 2017;4:45 PM;92.5;0.75;75.7;18.03;1,902;1,832;325.82;85.83
Jan 2, 2017;5:00 PM;25.75;2.75;64.19;14.71;1,902;1,832;325.82;85.83
Jan 2, 2017;5:15 PM;14.25;3.75;60.94;12.76;1,902;1,832;325.82;85.83
Jan 2, 2017;5:30 PM;1.25;30.75;48.05;7.16;1,902;1,832;325.82;85.83
Jan 2, 2017;5:45 PM;0.5;40.25;48;6.75;1,902;1,832;325.82;85.83
Jan 2, 2017;6:00 PM;2.25;88;51.22;4.54;1,902;1,832;325.82;85.83
Jan 2, 2017;6:15 PM;0.5;127;48;2.49;1,902;1,832;325.82;85.83
Jan 2, 2017;6:30 PM;0.25;155.5;48;0.16;1,902;1,832;325.82;85.83
Jan 2, 2017;6:45 PM;0.5;88.25;48;4.67;1,902;1,832;325.82;85.83
Jan 2, 2017;7:00 PM;81;4;74.41;12.23;1,902;1,832;325.82;85.83
Jan 2, 2017;7:15 PM;19.75;5.75;62.48;11.18;1,902;1,832;325.82;85.83
Jan 2, 2017;7:30 PM;48.25;2.5;69.25;14.33;1,902;1,832;325.82;85.83
Jan 2, 2017;7:45 PM;60;10;71.34;9.4;1,902;1,832;325.82;85.83
Jan 2, 2017;8:00 PM;17.75;63.25;67.83;-2.16;1,902;1,832;270.54;196.16
Jan 2, 2017;8:15 PM;4.25;25.75;54.68;0.04;1,902;1,832;270.54;196.16
Jan 2, 2017;8:30 PM;3.75;9.5;53.72;1.66;1,902;1,832;270.54;196.16
Jan 2, 2017;8:45 PM;1.25;35.25;51.53;-0.23;1,902;1,832;270.54;196.16
Jan 2, 2017;9:00 PM;31;5.5;74.01;3.65;1,902;1,832;270.54;196.16
Jan 2, 2017;9:15 PM;22.5;6;70.21;3.23;1,902;1,832;270.54;196.16
Jan 2, 2017;9:30 PM;31.5;7.5;74.19;2.43;1,902;1,832;270.54;196.16
Jan 2, 2017;9:45 PM;22.25;8;70;2.3;1,902;1,832;270.54;196.16
Jan 2, 2017;10:00 PM;48.75;9;77.69;1.69;1,902;1,832;270.54;196.16
Jan 2, 2017;10:15 PM;16;43.25;65.09;-0.38;1,902;1,832;270.54;196.16
Jan 2, 2017;10:30 PM;5;12.25;54.42;1.19;1,902;1,832;270.54;196.16
Jan 2, 2017;10:45 PM;21.75;45.5;69.69;-0.46;1,902;1,832;270.54;196.16
Jan 2, 2017;11:00 PM;3.5;35;53.61;-0.23;1,902;1,832;270.54;196.16
Jan 2, 2017;11:15 PM;15.5;10.5;64.74;1.56;1,902;1,832;270.54;196.16
Jan 2, 2017;11:30 PM;3.5;43.25;53.55;-0.36;1,902;1,832;270.54;196.16
Jan 2, 2017;11:45 PM;0.5;82;48;-4.58;1,902;1,832;270.54;196.16
Jan 3, 2017;12:00 AM;36.75;24.75;75.52;0.09;1,902;1,832;270.54;196.16
Jan 3, 2017;12:15 AM;41;0.5;76.4;15.1;1,902;1,832;270.54;196.16
Jan 3, 2017;12:30 AM;14.75;8.25;63.92;2.19;1,902;1,832;270.54;196.16
Jan 3, 2017;12:45 AM;1.25;69.5;50.49;-2.48;1,902;1,832;270.54;196.16
Jan 3, 2017;1:00 AM;100.5;7.5;87.8;2.42;1,902;1,832;270.54;196.16
Jan 3, 2017;1:15 AM;44.75;7;76.99;2.77;1,902;1,832;270.54;196.16
Jan 3, 2017;1:30 AM;17;7.5;65.97;2.43;1,902;1,832;270.54;196.16
Jan 3, 2017;1:45 AM;4;1.75;53.9;15.1;1,902;1,832;270.54;196.16
Jan 3, 2017;2:00 AM;62.25;0.25;79.01;15.1;1,902;1,832;270.54;196.16
Jan 3, 2017;2:15 AM;17.5;1.5;65.86;12.93;1,902;1,832;270.54;196.16
Jan 3, 2017;2:30 AM;3.75;20;53.08;0.35;1,902;1,832;270.54;196.16
Jan 3, 2017;2:45 AM;1.25;18.5;48;0.45;1,902;1,832;270.54;196.16
Jan 3, 2017;3:00 AM;4.75;20.5;54.41;0.3;1,902;1,832;270.54;196.16
Jan 3, 2017;3:15 AM;0.75;74;48;-3.14;1,902;1,832;270.54;196.16
Jan 3, 2017;3:30 AM;0.25;121;48;-18.16;1,902;1,832;270.54;196.16
Jan 3, 2017;3:45 AM;0.25;189.75;48;-40.01;1,902;1,832;270.54;196.16
Jan 3, 2017;4:00 AM;0.5;72.5;48;-2.96;1,902;1,832;270.54;196.16
Jan 3, 2017;4:15 AM;0.75;23.75;48;0.14;1,902;1,832;270.54;196.16
Jan 3, 2017;4:30 AM;3.5;32.25;53.43;-0.16;1,902;1,832;270.54;196.16
Jan 3, 2017;4:45 AM;2.25;36;51.29;-0.23;1,902;1,832;270.54;196.16
Jan 3, 2017;5:00 AM;0.25;114;48;-16.06;1,902;1,832;270.54;196.16
Jan 3, 2017;5:15 AM;2.5;46.25;52.49;-0.52;1,902;1,832;270.54;196.16
Jan 3, 2017;5:30 AM;28.25;9.25;72.9;1.81;1,902;1,832;270.54;196.16
Jan 3, 2017;5:45 AM;25.25;0.5;71.56;15.1;1,902;1,832;270.54;196.16
Jan 3, 2017;6:00 AM;9.25;65;59.17;-2.22;1,902;1,832;270.54;196.16
Jan 3, 2017;6:15 AM;2.25;30.75;52.08;-0.12;1,902;1,832;270.54;196.16
Jan 3, 2017;6:30 AM;0.75;49.5;48;-0.83;1,902;1,832;270.54;196.16
Jan 3, 2017;6:45 AM;0.25;133.5;48;-22.52;1,902;1,832;270.54;196.16
Jan 3, 2017;7:00 AM;0.25;245;48;-51.87;1,902;1,832;270.54;196.16
Jan 3, 2017;7:15 AM;0.25;118.5;48;-17.39;1,902;1,832;270.54;196.16
Jan 3, 2017;7:30 AM;0.25;53.5;48;-1.23;1,902;1,832;270.54;196.16
Jan 3, 2017;7:45 AM;7.75;20.5;57.15;0.32;1,902;1,832;270.54;196.16
Jan 3, 2017;8:00 AM;9.75;1.25;58.55;16.29;1,902;1,832;325.82;85.83
Jan 3, 2017;8:15 AM;4;2;53.69;14.93;1,902;1,832;325.82;85.83
Jan 3, 2017;8:30 AM;1.75;10.75;50.75;9.25;1,902;1,832;325.82;85.83
Jan 3, 2017;8:45 AM;1.75;15;50.96;8.31;1,902;1,832;325.82;85.83
Jan 3, 2017;9:00 AM;0.5;67;48;6.01;1,902;1,832;325.82;85.83
Jan 3, 2017;9:15 AM;0.75;27.75;48;7.33;1,902;1,832;325.82;85.83
Jan 3, 2017;9:30 AM;3.25;16;53.27;8.28;1,902;1,832;325.82;85.83
Jan 3, 2017;9:45 AM;18.75;11.5;62.09;9.09;1,902;1,832;325.82;85.83
Jan 3, 2017;10:00 AM;4.5;6;54.44;11.37;1,902;1,832;325.82;85.83
Jan 3, 2017;10:15 AM;3;4.25;52.7;13.1;1,902;1,832;325.82;85.83
Jan 3, 2017;10:30 AM;6;1.5;55.57;17.5;1,902;1,832;325.82;85.83
Jan 3, 2017;10:45 AM;2.75;3.25;52.14;13.59;1,902;1,832;325.82;85.83
Jan 3, 2017;11:00 AM;38;2;67.27;14.83;1,902;1,832;325.82;85.83
Jan 3, 2017;11:15 AM;20;3.75;62.39;13.31;1,902;1,832;325.82;85.83
Jan 3, 2017;11:30 AM;33.25;0.75;66.11;17.32;1,902;1,832;325.82;85.83
Jan 3, 2017;11:45 AM;5.25;1.5;55.32;14.84;1,902;1,832;325.82;85.83
Jan 3, 2017;12:00 PM;33;22.25;65.98;7.66;1,902;1,832;325.82;85.83
Jan 3, 2017;12:15 PM;7;36;56.72;6.92;1,902;1,832;325.82;85.83
Jan 3, 2017;12:30 PM;1.5;12.5;49.41;8.84;1,902;1,832;325.82;85.83
Jan 3, 2017;12:45 PM;1.5;26.25;50.72;7.34;1,902;1,832;325.82;85.83
Jan 3, 2017;1:00 PM;52;10.5;69.92;9.36;1,902;1,832;325.82;85.83
Jan 3, 2017;1:15 PM;10;3.75;58.62;13.08;1,902;1,832;325.82;85.83
Jan 3, 2017;1:30 PM;72.75;3.25;73.18;13.56;1,902;1,832;325.82;85.83
Jan 3, 2017;1:45 PM;3;21;53.33;7.72;1,902;1,832;325.82;85.83
Jan 3, 2017;2:00 PM;66.25;6;72.3;11.33;1,902;1,832;325.82;85.83
Jan 3, 2017;2:15 PM;43.75;0.25;68.41;18.5;1,902;1,832;325.82;85.83
Jan 3, 2017;2:30 PM;13;0.5;60.2;18.5;1,902;1,832;325.82;85.83
Jan 3, 2017;2:45 PM;4.25;5.25;53.9;12.11;1,902;1,832;325.82;85.83
Jan 3, 2017;3:00 PM;5.5;28;55.21;7.29;1,902;1,832;325.82;85.83
Jan 3, 2017;3:15 PM;5.25;3.25;54.89;13.72;1,902;1,832;325.82;85.83
Jan 3, 2017;3:30 PM;3.75;6.5;53.57;11.13;1,902;1,832;325.82;85.83
Jan 3, 2017;3:45 PM;5.5;25.5;55.15;7.46;1,902;1,832;325.82;85.83
Jan 3, 2017;4:00 PM;12.5;1.25;60.05;18.38;1,902;1,832;325.82;85.83
Jan 3, 2017;4:15 PM;24;0.75;63.61;18.5;1,902;1,832;325.82;85.83
Jan 3, 2017;4:30 PM;3.75;2.5;53.34;14.48;1,902;1,832;325.82;85.83
Jan 3, 2017;4:45 PM;16;6;61.21;11.74;1,902;1,832;325.82;85.83
Jan 3, 2017;5:00 PM;17;6.75;61.61;10.96;1,902;1,832;325.82;85.83
Jan 3, 2017;5:15 PM;48.25;3.25;69.44;12.95;1,902;1,832;325.82;85.83
Jan 3, 2017;5:30 PM;40.25;0.25;67.69;18.5;1,902;1,832;325.82;85.83
Jan 3, 2017;5:45 PM;42.5;1.75;68.19;15.38;1,902;1,832;325.82;85.83
Jan 3, 2017;6:00 PM;33.5;0.75;66.17;18.5;1,902;1,832;325.82;85.83
Jan 3, 2017;6:15 PM;6.75;1;56.4;17.7;1,902;1,832;325.82;85.83
Jan 3, 2017;6:30 PM;1.25;12;49.88;8.87;1,902;1,832;325.82;85.83
Jan 3, 2017;6:45 PM;5;15;54.84;8.4;1,902;1,832;325.82;85.83
Jan 3, 2017;7:00 PM;0.75;74;48;5.56;1,902;1,832;325.82;85.83
Jan 3, 2017;7:15 PM;0.25;132.25;48;2.3;1,902;1,832;325.82;85.83
Jan 3, 2017;7:30 PM;0.5;65.5;48;6.07;1,902;1,832;325.82;85.83
Jan 3, 2017;7:45 PM;0.25;101.5;48.64;3.58;1,902;1,832;325.82;85.83
Jan 3, 2017;8:00 PM;57.75;19.5;78.62;0.36;1,902;1,832;270.54;196.16
Jan 3, 2017;8:15 PM;10.5;6.25;60.07;3.33;1,902;1,832;270.54;196.16
Jan 3, 2017;8:30 PM;3.25;19.25;53.24;0.49;1,902;1,832;270.54;196.16
Jan 3, 2017;8:45 PM;1;78.5;48;-3.59;1,902;1,832;270.54;196.16
Jan 3, 2017;9:00 PM;31.5;13;74.21;1.03;1,902;1,832;270.54;196.16
Jan 3, 2017;9:15 PM;39;1.75;75.97;10.94;1,902;1,832;270.54;196.16
Jan 3, 2017;9:30 PM;86;0.25;81.78;15.1;1,902;1,832;270.54;196.16
Jan 3, 2017;9:45 PM;23;2.5;70.49;12.29;1,902;1,832;270.54;196.16
Jan 3, 2017;10:00 PM;272.75;0.75;150.86;15.1;1,902;1,832;270.54;196.16
Jan 3, 2017;10:15 PM;89;38.5;82.38;-0.3;1,902;1,832;270.54;196.16
Jan 3, 2017;10:30 PM;92.5;8;83.55;2.26;1,902;1,832;270.54;196.16
Jan 3, 2017;10:45 PM;5.5;104.5;55.08;-12.55;1,902;1,832;270.54;196.16
Jan 3, 2017;11:00 PM;126.5;7;106.2;2.46;1,902;1,832;270.54;196.16
Jan 3, 2017;11:15 PM;51.5;2.5;77.93;7.84;1,902;1,832;270.54;196.16
